iter	Passed	Remaining
0	1	1410
1	1	856
2	2	665
3	2	561
4	2	495
5	2	456
6	3	425
7	3	400
8	3	383
9	3	369
10	3	356
11	4	347
12	4	337
13	4	330
14	4	324
15	5	318
16	5	312
17	5	307
18	5	304
19	6	300
20	6	297
21	6	294
22	6	290
23	7	287
24	7	284
25	7	282
26	7	280
27	8	277
28	8	276
29	8	274
30	8	272
31	8	270
32	9	269
33	9	267
34	9	266
35	9	265
36	10	263
37	10	262
38	10	261
39	10	259
40	11	258
41	11	256
42	11	255
43	11	254
44	11	253
45	12	252
46	12	252
47	12	251
48	12	250
49	13	249
50	13	249
51	13	248
52	13	248
53	14	248
54	14	247
55	14	246
56	14	245
57	15	245
58	15	244
59	15	243
60	15	243
61	16	242
62	16	241
63	16	240
64	16	240
65	16	239
66	17	239
67	17	239
68	17	238
69	17	238
70	18	237
71	18	237
72	18	236
73	18	236
74	19	235
75	19	235
76	19	234
77	19	233
78	20	233
79	20	232
80	20	232
81	20	231
82	20	230
83	21	229
84	21	228
85	21	228
86	21	228
87	21	227
88	22	227
89	22	227
90	22	227
91	23	227
92	23	226
93	23	226
94	23	226
95	24	226
96	24	225
97	24	225
98	24	225
99	24	224
100	25	225
101	25	225
102	25	225
103	26	225
104	26	225
105	26	225
106	26	224
107	27	224
108	27	224
109	27	223
110	27	223
111	28	222
112	28	222
113	28	223
114	29	223
115	29	224
116	29	223
117	29	223
118	30	222
119	30	222
120	30	222
121	31	226
122	31	225
123	31	225
124	32	225
125	32	225
126	32	224
127	32	223
128	33	223
129	33	223
130	33	222
131	33	222
132	34	221
133	34	221
134	34	220
135	34	220
136	34	220
137	35	219
138	35	219
139	35	218
140	35	218
141	35	217
142	36	216
143	36	216
144	36	215
145	36	215
146	37	214
147	37	214
148	37	214
149	37	213
150	37	213
151	38	212
152	38	212
153	38	211
154	38	211
155	39	211
156	39	210
157	39	210
158	39	209
159	39	209
160	40	208
161	40	208
162	40	207
163	40	207
164	40	206
165	41	206
166	41	206
167	41	205
168	41	205
169	41	204
170	42	204
171	42	204
172	42	203
173	42	203
174	43	203
175	43	202
176	43	202
177	43	202
178	44	202
179	44	202
180	44	202
181	44	201
182	45	201
183	45	200
184	45	200
185	45	200
186	45	199
187	46	199
188	46	199
189	46	199
190	46	198
191	47	198
192	47	198
193	47	198
194	48	198
195	48	197
196	48	197
197	48	197
198	48	196
199	49	196
200	49	196
201	49	196
202	49	196
203	50	195
204	50	195
205	50	195
206	50	195
207	51	194
208	51	194
209	51	193
210	51	193
211	52	193
212	52	193
213	52	192
214	52	192
215	52	192
216	53	191
217	53	191
218	53	191
219	53	191
220	54	191
221	54	190
222	54	190
223	54	190
224	55	189
225	55	190
226	55	189
227	55	189
228	56	189
229	56	188
230	56	188
231	56	188
232	57	187
233	57	187
234	57	186
235	57	186
236	57	186
237	58	185
238	58	185
239	58	185
240	58	185
241	59	185
242	59	184
243	59	184
244	59	184
245	60	184
246	60	184
247	60	184
248	60	183
249	61	183
250	61	183
251	61	183
252	61	182
253	62	182
254	62	182
255	62	181
256	62	181
257	63	181
258	63	181
259	63	181
260	63	180
261	64	180
262	64	180
263	64	180
264	64	179
265	65	179
266	65	179
267	65	178
268	65	178
269	66	178
270	66	178
271	66	178
272	67	178
273	67	178
274	67	178
275	67	177
276	68	177
277	68	177
278	68	177
279	68	176
280	68	176
281	69	176
282	69	176
283	69	175
284	69	175
285	70	175
286	70	175
287	70	174
288	70	174
289	71	174
290	71	174
291	71	173
292	71	173
293	72	173
294	72	173
295	72	172
296	72	172
297	73	172
298	73	172
299	73	171
300	73	171
301	74	171
302	74	170
303	74	170
304	74	170
305	75	170
306	75	170
307	75	169
308	75	169
309	76	169
310	76	168
311	76	168
312	76	168
313	77	169
314	77	169
315	78	168
316	78	168
317	78	168
318	78	168
319	78	167
320	79	167
321	79	167
322	79	167
323	80	167
324	80	166
325	80	166
326	80	166
327	80	165
328	81	165
329	81	165
330	81	165
331	81	164
332	82	164
333	82	164
334	82	164
335	82	163
336	83	163
337	83	163
338	83	163
339	83	162
340	84	162
341	84	162
342	84	162
343	84	161
344	85	161
345	85	161
346	85	161
347	85	160
348	86	160
349	86	160
350	86	160
351	86	159
352	86	159
353	87	159
354	87	158
355	87	158
356	87	158
357	88	158
358	88	158
359	88	157
360	89	157
361	89	157
362	89	157
363	90	157
364	90	157
365	90	157
366	91	157
367	91	156
368	91	156
369	91	156
370	92	156
371	92	156
372	92	155
373	92	155
374	93	155
375	93	155
376	93	154
377	93	154
378	94	154
379	94	154
380	94	153
381	94	153
382	95	153
383	95	152
384	95	152
385	95	152
386	96	152
387	96	151
388	96	151
389	96	151
390	96	151
391	97	150
392	97	150
393	97	150
394	97	150
395	98	149
396	98	149
397	98	149
398	98	148
399	99	148
400	99	148
401	99	148
402	99	147
403	100	147
404	100	147
405	100	147
406	100	146
407	100	146
408	101	146
409	101	145
410	101	145
411	101	145
412	102	145
413	102	145
414	102	144
415	102	144
416	103	144
417	103	143
418	103	143
419	103	143
420	104	143
421	104	142
422	104	142
423	104	142
424	104	141
425	105	141
426	105	141
427	105	141
428	105	140
429	106	140
430	106	140
431	106	140
432	106	139
433	107	139
434	107	139
435	107	139
436	107	138
437	108	138
438	108	138
439	108	138
440	108	137
441	109	137
442	109	137
443	109	137
444	109	136
445	110	136
446	110	136
447	110	136
448	110	135
449	111	135
450	111	135
451	111	135
452	111	134
453	111	134
454	112	134
455	112	134
456	112	133
457	112	133
458	113	133
459	113	133
460	113	132
461	113	132
462	114	132
463	114	132
464	114	131
465	114	131
466	115	131
467	115	131
468	115	130
469	115	130
470	116	130
471	116	130
472	116	129
473	116	129
474	117	129
475	117	129
476	117	128
477	117	128
478	118	128
479	118	128
480	118	127
481	118	127
482	119	127
483	119	127
484	119	126
485	119	126
486	120	126
487	120	126
488	120	125
489	120	125
490	121	125
491	121	125
492	121	124
493	121	124
494	121	124
495	122	124
496	122	124
497	122	123
498	122	123
499	123	123
500	123	123
501	123	122
502	123	122
503	124	122
504	124	122
505	124	121
506	124	121
507	125	121
508	125	120
509	125	120
510	125	120
511	126	120
512	126	119
513	126	119
514	126	119
515	127	119
516	127	118
517	127	118
518	127	118
519	128	118
520	128	117
521	128	117
522	128	117
523	128	117
524	129	116
525	129	116
526	129	116
527	130	116
528	130	115
529	130	115
530	130	115
531	130	115
532	131	114
533	131	114
534	131	114
535	131	114
536	132	113
537	132	113
538	132	113
539	132	113
540	133	112
541	133	112
542	133	112
543	133	112
544	134	111
545	134	111
546	134	111
547	134	111
548	134	110
549	135	110
550	135	110
551	135	110
552	135	109
553	136	109
554	136	109
555	136	109
556	137	109
557	137	108
558	137	108
559	137	108
560	138	108
561	138	107
562	138	107
563	138	107
564	139	107
565	139	106
566	139	106
567	139	106
568	140	106
569	140	105
570	140	105
571	140	105
572	141	105
573	141	104
574	141	104
575	141	104
576	142	104
577	142	103
578	142	103
579	143	103
580	143	103
581	143	103
582	144	103
583	144	102
584	144	102
585	144	102
586	145	102
587	145	101
588	145	101
589	145	101
590	146	101
591	146	100
592	146	100
593	146	100
594	147	100
595	147	99
596	147	99
597	147	99
598	148	99
599	148	98
600	148	98
601	148	98
602	148	98
603	149	97
604	149	97
605	149	97
606	149	97
607	150	96
608	150	96
609	150	96
610	150	96
611	151	95
612	151	95
613	151	95
614	151	95
615	152	94
616	152	94
617	152	94
618	152	94
619	152	93
620	153	93
621	153	93
622	153	92
623	153	92
624	154	92
625	154	92
626	154	91
627	154	91
628	155	91
629	155	91
630	155	90
631	155	90
632	156	90
633	156	90
634	156	90
635	156	89
636	157	89
637	157	89
638	157	89
639	157	88
640	158	88
641	158	88
642	158	88
643	158	87
644	159	87
645	159	87
646	159	87
647	159	86
648	160	86
649	160	86
650	160	86
651	160	85
652	160	85
653	161	85
654	161	85
655	161	84
656	161	84
657	162	84
658	162	84
659	162	83
660	162	83
661	163	83
662	163	83
663	163	82
664	163	82
665	164	82
666	164	82
667	164	81
668	164	81
669	165	81
670	165	81
671	165	80
672	166	80
673	166	80
674	166	80
